date,dateindex,max,min,mean
1-Jan,1.00,3.0 ,2.7 ,2.9 
2-Jan,2.00,2.4 ,1.9 ,2.2 
3-Jan,3.00,2.1 ,1.9 ,2.0 
4-Jan,4.00,2.2 ,2.1 ,2.2 
5-Jan,5.00,2.2 ,2.1 ,2.2 
6-Jan,6.00,2.3 ,2.1 ,2.2 
7-Jan,7.00,2.8 ,2.3 ,2.6 
8-Jan,8.00,3.2 ,2.8 ,3.0 
9-Jan,9.00,3.8 ,3.0 ,3.4 
10-Jan,10.00,3.5 ,3.0 ,3.3 
11-Jan,11.00,3.5 ,3.5 ,3.5 
12-Jan,12.00,3.0 ,3.0 ,3.0 
13-Jan,13.00,3.0 ,3.0 ,3.0 
14-Jan,14.00,3.0 ,2.5 ,2.8 
15-Jan,15.00,3.0 ,3.0 ,3.0 
16-Jan,16.00,3.0 ,3.0 ,3.0 
17-Jan,17.00,2.5 ,2.5 ,2.5 
18-Jan,18.00,2.5 ,2.5 ,2.5 
19-Jan,19.00,2.5 ,2.0 ,2.0 
20-Jan,20.00,2.0 ,2.0 ,2.0 
21-Jan,21.00,2.0 ,2.0 ,2.0 
22-Jan,22.00,2.0 ,2.0 ,2.0 
23-Jan,23.00,2.5 ,2.0 ,2.3 
24-Jan,24.00,2.5 ,2.0 ,2.3 
25-Jan,25.00,2.5 ,2.5 ,2.5 
26-Jan,26.00,2.5 ,2.5 ,2.5 
27-Jan,27.00,2.5 ,2.0 ,2.3 
28-Jan,28.00,2.0 ,2.0 ,2.0 
29-Jan,29.00,2.0 ,1.5 ,1.8 
30-Jan,30.00,1.5 ,1.5 ,1.5 
31-Jan,31.00,1.5 ,1.0 ,1.3 
1-Feb,32.00,1.5 ,1.0 ,1.3 
2-Feb,33.00,1.0 ,0.5 ,0.8 
3-Feb,34.00,1.5 ,0.5 ,1.0 
4-Feb,35.00,1.5 ,0.5 ,1.0 
5-Feb,36.00,1.5 ,1.0 ,1.3 
6-Feb,37.00,2.0 ,1.0 ,1.5 
7-Feb,38.00,2.0 ,1.5 ,1.8 
8-Feb,39.00,2.0 ,2.0 ,2.0 
9-Feb,40.00,2.0 ,2.0 ,2.0 
10-Feb,41.00,2.0 ,2.0 ,2.0 
11-Feb,42.00,2.0 ,2.0 ,2.0 
12-Feb,43.00,2.5 ,2.0 ,2.3 
13-Feb,44.00,2.8 ,2.3 ,2.6 
14-Feb,45.00,2.1 ,1.9 ,2.0 
15-Feb,46.00,2.0 ,1.3 ,1.7 
16-Feb,47.00,1.1 ,0.5 ,0.8 
17-Feb,48.00,0.7 ,0.0 ,0.4 
18-Feb,49.00,0.0 ,0.0 ,0.0 
19-Feb,50.00,0.0 ,0.0 ,0.0 
20-Feb,51.00,0.0 ,0.0 ,0.0 
21-Feb,52.00,0.0 ,0.0 ,0.0 
22-Feb,53.00,0.0 ,0.0 ,0.0 
23-Feb,54.00,0.8 ,0.0 ,0.4 
24-Feb,55.00,1.1 ,0.9 ,1.0 
25-Feb,56.00,1.9 ,1.2 ,1.6 
26-Feb,57.00,2.0 ,1.9 ,2.0 
27-Feb,58.00,2.3 ,2.0 ,2.2 
28-Feb,59.00,2.3 ,2.0 ,2.2 
1-Mar,60.00,2.6 ,2.1 ,2.4 
2-Mar,61.00,2.8 ,2.5 ,2.7 
3-Mar,62.00,3.0 ,2.7 ,2.9 
4-Mar,63.00,2.9 ,2.7 ,2.8 
5-Mar,64.00,3.0 ,2.8 ,2.9 
6-Mar,65.00,3.0 ,3.0 ,3.0 
7-Mar,66.00,3.2 ,3.0 ,3.1 
8-Mar,67.00,3.1 ,3.1 ,3.1 
9-Mar,68.00,3.1 ,3.1 ,3.1 
10-Mar,69.00,3.1 ,3.1 ,3.1 
11-Mar,70.00,3.0 ,3.0 ,3.0 
12-Mar,71.00,3.1 ,3.0 ,3.1 
13-Mar,72.00,3.1 ,3.0 ,3.1 
14-Mar,73.00,3.1 ,3.0 ,3.1 
15-Mar,74.00,3.2 ,3.1 ,3.2 
16-Mar,75.00,3.2 ,3.2 ,3.2 
17-Mar,76.00,3.3 ,3.2 ,3.3 
18-Mar,77.00,4.0 ,3.5 ,3.8 
19-Mar,78.00,4.5 ,4.0 ,4.3 
20-Mar,79.00,4.8 ,4.5 ,4.7 
21-Mar,80.00,5.0 ,4.9 ,5.0 
22-Mar,81.00,5.0 ,4.9 ,5.0 
23-Mar,82.00,4.9 ,4.8 ,4.9 
24-Mar,83.00,4.8 ,4.2 ,4.5 
25-Mar,84.00,4.4 ,4.0 ,4.2 
26-Mar,85.00,4.1 ,4.0 ,4.1 
27-Mar,86.00,4.1 ,4.0 ,4.1 
28-Mar,87.00,4.8 ,4.2 ,4.5 
29-Mar,88.00,4.9 ,4.7 ,4.8 
30-Mar,89.00,5.1 ,4.9 ,5.0 
31-Mar,90.00,5.8 ,5.1 ,5.5 
1-Apr,91.00,6.0 ,5.9 ,6.0 
2-Apr,92.00,6.3 ,6.0 ,6.2 
3-Apr,93.00,6.9 ,6.3 ,6.6 
4-Apr,94.00,6.9 ,6.5 ,6.7 
5-Apr,95.00,7.0 ,6.5 ,6.8 
6-Apr,96.00,6.9 ,6.6 ,6.8 
7-Apr,97.00,6.9 ,6.5 ,6.7 
8-Apr,98.00,6.7 ,6.1 ,6.4 
9-Apr,99.00,6.2 ,6.1 ,6.2 
10-Apr,100.00,6.1 ,5.9 ,6.0 
11-Apr,101.00,6.0 ,6.0 ,6.0 
12-Apr,102.00,6.1 ,6.0 ,6.1 
13-Apr,103.00,6.1 ,5.5 ,5.8 
14-Apr,104.00,6.2 ,5.8 ,6.0 
15-Apr,105.00,6.5 ,6.1 ,6.3 
16-Apr,106.00,7.1 ,6.3 ,6.7 
17-Apr,107.00,8.0 ,7.1 ,7.6 
18-Apr,108.00,7.8 ,7.0 ,7.4 
19-Apr,109.00,7.1 ,6.9 ,7.0 
20-Apr,110.00,7.0 ,7.0 ,7.0 
21-Apr,111.00,7.0 ,7.0 ,7.0 
22-Apr,112.00,7.0 ,7.0 ,7.0 
23-Apr,113.00,7.3 ,7.0 ,7.2 
24-Apr,114.00,7.7 ,7.1 ,7.4 
25-Apr,115.00,7.2 ,7.0 ,7.1 
26-Apr,116.00,7.3 ,6.9 ,7.1 
27-Apr,117.00,6.9 ,6.6 ,6.8 
28-Apr,118.00,7.0 ,6.5 ,6.8 
29-Apr,119.00,7.0 ,6.7 ,6.9 
30-Apr,120.00,7.9 ,7.0 ,7.5 
1-May,121.00,7.1 ,7.0 ,7.1 
2-May,122.00,7.0 ,6.9 ,7.0 
3-May,123.00,7.8 ,7.0 ,7.4 
4-May,124.00,8.9 ,7.8 ,8.4 
5-May,125.00,9.2 ,8.6 ,8.9 
6-May,126.00,9.5 ,8.9 ,9.2 
7-May,127.00,9.2 ,8.8 ,9.0 
8-May,128.00,9.2 ,8.5 ,8.9 
9-May,129.00,9.7 ,8.9 ,9.3 
10-May,130.00,9.1 ,8.8 ,9.0 
11-May,131.00,8.9 ,8.3 ,8.6 
12-May,132.00,8.9 ,8.3 ,8.6 
13-May,133.00,8.9 ,8.5 ,8.7 
14-May,134.00,8.9 ,8.5 ,8.7 
15-May,135.00,8.9 ,8.5 ,8.7 
16-May,136.00,9.5 ,8.9 ,9.2 
17-May,137.00,9.5 ,9.1 ,9.3 
18-May,138.00,9.1 ,9.0 ,9.1 
19-May,139.00,9.9 ,9.1 ,9.5 
20-May,140.00,10.1 ,9.7 ,9.9 
21-May,141.00,10.3 ,10.0 ,10.2 
22-May,142.00,11.0 ,10.3 ,10.7 
23-May,143.00,10.9 ,10.6 ,10.8 
24-May,144.00,10.9 ,10.5 ,10.7 
25-May,145.00,-,-,-
26-May,146.00,11.8 ,10.0 ,10.9 
27-May,147.00,10.5 ,9.9 ,10.2 
28-May,148.00,11.0 ,10.0 ,10.5 
29-May,149.00,11.2 ,10.6 ,10.9 
30-May,150.00,11.0 ,10.8 ,10.9 
31-May,151.00,11.2 ,10.8 ,-
1-Jun,152.00,11.0 ,10.2 ,10.6 
2-Jun,153.00,10.4 ,10.0 ,10.2 
3-Jun,154.00,10.9 ,10.0 ,10.5 
4-Jun,155.00,11.0 ,10.0 ,10.5 
5-Jun,156.00,10.5 ,10.0 ,10.3 
6-Jun,157.00,10.5 ,10.0 ,10.3 
7-Jun,158.00,10.9 ,10.0 ,10.5 
8-Jun,159.00,11.0 ,10.2 ,10.6 
9-Jun,160.00,11.0 ,10.5 ,10.8 
10-Jun,161.00,11.0 ,10.6 ,10.8 
11-Jun,162.00,11.0 ,10.5 ,10.8 
12-Jun,163.00,10.7 ,10.5 ,10.6 
13-Jun,164.00,10.9 ,10.5 ,10.7 
14-Jun,165.00,11.0 ,10.6 ,10.8 
15-Jun,166.00,11.2 ,10.9 ,11.1 
16-Jun,167.00,11.2 ,10.7 ,11.0 
17-Jun,168.00,11.0 ,10.5 ,10.8 
18-Jun,169.00,12.0 ,10.9 ,11.5 
19-Jun,170.00,12.0 ,10.5 ,11.3 
20-Jun,171.00,12.0 ,11.3 ,11.7 
21-Jun,172.00,12.5 ,12.0 ,12.3 
22-Jun,173.00,13.0 ,12.5 ,12.8 
23-Jun,174.00,13.2 ,12.5 ,12.9 
24-Jun,175.00,13.5 ,12.8 ,13.2 
25-Jun,176.00,14.0 ,13.5 ,13.8 
26-Jun,177.00,14.0 ,13.0 ,13.5 
27-Jun,178.00,13.8 ,13.0 ,13.4 
28-Jun,179.00,13.8 ,13.2 ,13.5 
29-Jun,180.00,13.2 ,13.0 ,13.1 
30-Jun,181.00,13.5 ,13.1 ,13.3 
1-Jul,182.00,13.9 ,13.5 ,13.7 
2-Jul,183.00,14.0 ,13.0 ,13.5 
3-Jul,184.00,14.0 ,13.0 ,13.5 
4-Jul,185.00,14.0 ,13.0 ,13.5 
5-Jul,186.00,14.3 ,13.2 ,13.8 
6-Jul,187.00,14.0 ,13.5 ,13.8 
7-Jul,188.00,14.5 ,13.5 ,14.0 
8-Jul,189.00,14.5 ,13.8 ,14.2 
9-Jul,190.00,15.0 ,14.0 ,14.5 
10-Jul,191.00,15.3 ,14.6 ,15.0 
11-Jul,192.00,15.5 ,15.0 ,15.3 
12-Jul,193.00,16.0 ,15.0 ,15.5 
13-Jul,194.00,16.3 ,15.7 ,16.0 
14-Jul,195.00,16.8 ,16.0 ,16.4 
15-Jul,196.00,16.8 ,16.1 ,16.5 
16-Jul,197.00,16.5 ,15.8 ,16.2 
17-Jul,198.00,17.0 ,15.8 ,16.4 
18-Jul,199.00,16.4 ,15.6 ,16.0 
19-Jul,200.00,16.3 ,15.4 ,15.9 
20-Jul,201.00,16.0 ,15.2 ,15.6 
21-Jul,202.00,16.4 ,15.6 ,16.0 
22-Jul,203.00,17.0 ,16.0 ,16.5 
23-Jul,204.00,17.0 ,16.5 ,16.8 
24-Jul,205.00,16.8 ,16.4 ,16.6 
25-Jul,206.00,16.8 ,16.0 ,16.4 
26-Jul,207.00,16.4 ,16.0 ,16.2 
