date,dateindex,max,min,mean
1/1/1990,1,7,2,4.5
1/2/1990,2,3.5,-3,0.3
1/3/1990,3,5,1,3
1/4/1990,4,7.5,3,5.3
1/5/1990,5,10,4,7
1/6/1990,6,10,5.5,7.8
1/7/1990,7,10,5,7.5
1/8/1990,8,9,5,7
1/9/1990,9,6.5,4.5,5.5
1/10/1990,10,7,-0.5,3.3
1/11/1990,11,5,-2.5,1.3
1/12/1990,12,8,3,5.5
1/13/1990,13,7,4,5.5
1/14/1990,14,8,5.5,6.8
1/15/1990,15,6,5,5.5
1/16/1990,16,8,1,4.5
1/17/1990,17,6,-1.5,2.3
1/18/1990,18,6,-3,1.5
1/19/1990,19,7,-2,2.5
1/20/1990,20,5,-1.5,1.8
1/21/1990,21,4.5,4,4.3
1/22/1990,22,8,3,5.5
1/23/1990,23,7,0,3.5
1/24/1990,24,6,0.5,3.3
1/25/1990,25,6,2.5,4.3
1/26/1990,26,5,-2.5,1.3
1/27/1990,27,5,0,2.5
1/28/1990,28,9,1,5
1/29/1990,29,5,0,2.5
1/30/1990,30,3.5,0,1.8
1/31/1990,31,0,-3.5,-1.8
2/1/1990,32,3.5,-2.5,0.5
2/2/1990,33,8,1,4.5
2/3/1990,34,5.5,1.5,3.5
2/4/1990,35,5,-1,2
2/5/1990,36,5,2.5,3.8
2/6/1990,37,3,0.5,1.8
2/7/1990,38,3.5,-1,1.3
2/8/1990,39,2,-1.5,0.3
2/9/1990,40,8,1,4.5
2/10/1990,41,9.5,5,7.3
2/11/1990,42,6,1,3.5
2/12/1990,43,4.5,-2,1.3
2/13/1990,44,1.5,-6,-2.3
2/14/1990,45,-2,-7,-4.5
2/15/1990,46,0,-3.5,-1.8
2/16/1990,47,4,-4.5,-0.3
2/17/1990,48,-1,-10.5,-5.8
2/18/1990,49,3.5,-11,-3.8
2/19/1990,50,5,-7,-1
2/20/1990,51,3,0,1.5
2/21/1990,52,7,2,4.5
2/22/1990,53,10,2,6
2/23/1990,54,12,-1.5,5.3
2/24/1990,55,8.5,5.5,7
2/25/1990,56,8.5,2.5,5.5
2/26/1990,57,13,-1,6
2/27/1990,58,14,-0.5,6.8
2/28/1990,59,15,-1,7
3/1/1990,60,14.5,-1.5,6.5
3/2/1990,61,14.5,-0.5,7
3/3/1990,62,14,1,7.5
3/4/1990,63,14,6,10
3/5/1990,64,9.5,2,5.8
3/6/1990,65,9,5,7
3/7/1990,66,6,2,4
3/8/1990,67,6,0,3
3/9/1990,68,7,0.5,3.8
3/10/1990,69,9,2.5,5.8
3/11/1990,70,8,-0.5,3.8
3/12/1990,71,10,-3,3.5
3/13/1990,72,,0,
3/14/1990,73,7,1,4
3/15/1990,74,11.5,4,7.8
3/16/1990,75,12,4.5,8.3
3/17/1990,76,13.5,7,10.3
3/18/1990,77,15,7.5,11.3
3/19/1990,78,9.5,4,6.8
3/20/1990,79,14.5,7.5,11
3/21/1990,80,13.5,3.5,8.5
3/22/1990,81,8.5,4,6.3
3/23/1990,82,8,2,5
3/24/1990,83,14.5,-1,6.8
3/25/1990,84,13,-1.5,5.8
3/26/1990,85,14,-0.5,6.8
3/27/1990,86,17.5,0.5,9
3/28/1990,87,17,3,10
3/29/1990,88,16,2.5,9.3
3/30/1990,89,13,2,7.5
3/31/1990,90,13,8,10.5
4/1/1990,91,13,5,9
4/2/1990,92,15,7,11
4/3/1990,93,15.5,2.5,9
4/4/1990,94,18,2,10
4/5/1990,95,16.5,3,9.8
4/6/1990,96,17,3,10
4/7/1990,97,14.5,3.5,9
4/8/1990,98,10,7,8.5
4/9/1990,99,14,5.5,9.8
4/10/1990,100,20,5,12.5
4/11/1990,101,16.5,10.5,13.5
4/12/1990,102,16,7.5,11.8
4/13/1990,103,11,8,9.5
4/14/1990,104,17.5,9,13.3
4/15/1990,105,21.5,8.5,15
4/16/1990,106,24,9,16.5
4/17/1990,107,17.5,11,14.3
4/18/1990,108,14,7,10.5
4/19/1990,109,12,8.5,10.3
4/20/1990,110,16,9.5,12.8
4/21/1990,111,14,8,11
4/22/1990,112,14.5,8,11.3
4/23/1990,113,11,8.5,9.8
4/24/1990,114,14,7,10.5
4/25/1990,115,14,5,9.5
4/26/1990,116,12.5,6,9.3
4/27/1990,117,8.5,3.5,6
4/28/1990,118,13.5,2.5,8
4/29/1990,119,16,5,10.5
4/30/1990,120,17.5,3,10.3
5/1/1990,121,11.5,8,9.8
5/2/1990,122,17,9,13
5/3/1990,123,20,7.5,13.8
5/4/1990,124,24,8,16
5/5/1990,125,25,9.5,17.3
5/6/1990,126,15,6,10.5
5/7/1990,127,15,7,11
5/8/1990,128,17,4.5,10.8
5/9/1990,129,19,6,12.5
5/10/1990,130,18,6,12
5/11/1990,131,12.5,10,11.3
5/12/1990,132,14,9,11.5
5/13/1990,133,12.5,8,10.3
5/14/1990,134,16,7,11.5
5/15/1990,135,15,7,11
5/16/1990,136,17,7.5,12.3
5/17/1990,137,16.5,7.5,12
5/18/1990,138,14,8.5,11.3
5/19/1990,139,17,8.5,12.8
5/20/1990,140,16.5,9,12.8
5/21/1990,141,19,7,13
5/22/1990,142,19,10,14.5
5/23/1990,143,17,7.5,12.3
5/24/1990,144,14,7.5,10.8
5/25/1990,145,15,8,11.5
5/26/1990,146,19,6.5,12.8
5/27/1990,147,16,12.5,14.3
5/28/1990,148,21,11,16
5/29/1990,149,,11,
5/30/1990,150,,,
5/31/1990,151,10,9,9.5
6/1/1990,152,12,8.5,10.3
6/2/1990,153,,,
6/3/1990,154,18,11.5,14.8
6/4/1990,155,17,8.5,12.8
6/5/1990,156,18,7,12.5
6/6/1990,157,15.5,11,13.3
6/7/1990,158,16.5,8.5,12.5
6/8/1990,159,15,10,12.5
6/9/1990,160,14.5,10.5,12.5
6/10/1990,161,12,8,10
6/11/1990,162,16,8.5,12.3
6/12/1990,163,16,9,12.5
6/13/1990,164,19.5,10,14.8
6/14/1990,165,25,10,17.5
6/15/1990,166,22,10.5,16.3
6/16/1990,167,14,10.5,12.3
6/17/1990,168,21.5,11,16.3
6/18/1990,169,22.5,11.5,17
6/19/1990,170,16.5,13,14.8
