date,min,max,mean,year,site
1-Jan,-,-,-,1954,northarm
2-Jan,-,-,-,1954,northarm
3-Jan,-,-,-,1954,northarm
4-Jan,-,-,-,1954,northarm
5-Jan,-,-,-,1954,northarm
6-Jan,-,-,-,1954,northarm
7-Jan,-,-,-,1954,northarm
8-Jan,-,-,-,1954,northarm
9-Jan,-,-,-,1954,northarm
10-Jan,-,-,-,1954,northarm
11-Jan,-,-,-,1954,northarm
12-Jan,-,-,-,1954,northarm
13-Jan,-,-,-,1954,northarm
14-Jan,-,-,-,1954,northarm
15-Jan,-,-,-,1954,northarm
16-Jan,-,-,-,1954,northarm
17-Jan,-,-,-,1954,northarm
18-Jan,-,-,-,1954,northarm
19-Jan,-,-,-,1954,northarm
20-Jan,-,-,-,1954,northarm
21-Jan,-,-,-,1954,northarm
22-Jan,-,-,-,1954,northarm
23-Jan,-,-,-,1954,northarm
24-Jan,-,-,-,1954,northarm
25-Jan,-,-,-,1954,northarm
26-Jan,-,-,-,1954,northarm
27-Jan,-,-,-,1954,northarm
28-Jan,-,-,-,1954,northarm
29-Jan,-,-,-,1954,northarm
30-Jan,-,-,-,1954,northarm
31-Jan,-,-,-,1954,northarm
1-Feb,-,-,-,1954,northarm
2-Feb,-,-,-,1954,northarm
3-Feb,-,-,-,1954,northarm
4-Feb,-,-,-,1954,northarm
5-Feb,-,-,-,1954,northarm
6-Feb,-,-,-,1954,northarm
7-Feb,-,-,-,1954,northarm
8-Feb,-,-,-,1954,northarm
9-Feb,-,-,-,1954,northarm
10-Feb,-,-,-,1954,northarm
11-Feb,-,-,-,1954,northarm
12-Feb,-,-,-,1954,northarm
13-Feb,-,-,-,1954,northarm
14-Feb,-,-,-,1954,northarm
15-Feb,-,-,-,1954,northarm
16-Feb,-,-,-,1954,northarm
17-Feb,-,-,-,1954,northarm
18-Feb,-,-,-,1954,northarm
19-Feb,-,-,-,1954,northarm
20-Feb,-,-,-,1954,northarm
21-Feb,-,-,-,1954,northarm
22-Feb,-,-,-,1954,northarm
23-Feb,-,-,-,1954,northarm
24-Feb,-,-,-,1954,northarm
25-Feb,-,-,-,1954,northarm
26-Feb,-,-,-,1954,northarm
27-Feb,-,-,-,1954,northarm
28-Feb,-,-,-,1954,northarm
29-Feb,,,,1954,northarm
1-Mar,3.9,3.9,-,1954,northarm
2-Mar,-,-,-,1954,northarm
3-Mar,-,-,-,1954,northarm
4-Mar,-,-,-,1954,northarm
5-Mar,-,-,-,1954,northarm
6-Mar,-,-,-,1954,northarm
7-Mar,-,-,-,1954,northarm
8-Mar,-,-,-,1954,northarm
9-Mar,-,-,-,1954,northarm
10-Mar,4.7,4.4,-,1954,northarm
11-Mar,4.7,4.4,-,1954,northarm
12-Mar,4.7,4.4,4.6,1954,northarm
13-Mar,4.4,4.4,4.4,1954,northarm
14-Mar,5.0,4.4,4.7,1954,northarm
15-Mar,6.4,4.4,-,1954,northarm
16-Mar,5.6,4.7,5.1,1954,northarm
17-Mar,4.7,4.4,4.6,1954,northarm
18-Mar,4.7,4.4,-,1954,northarm
19-Mar,5.0,4.4,-,1954,northarm
20-Mar,5.0,5.0,-,1954,northarm
21-Mar,5.0,5.0,-,1954,northarm
22-Mar,5.6,5.0,5.3,1954,northarm
23-Mar,5.8,5.6,-,1954,northarm
24-Mar,5.6,5.6,-,1954,northarm
25-Mar,5.3,5.3,-,1954,northarm
26-Mar,5.6,5.6,-,1954,northarm
27-Mar,5.8,5.6,-,1954,northarm
28-Mar,5.8,5.6,5.7,1954,northarm
29-Mar,5.6,5.3,5.4,1954,northarm
30-Mar,5.6,4.7,5.1,1954,northarm
31-Mar,5.0,4.4,4.7,1954,northarm
1-Apr,4.7,4.4,4.6,1954,northarm
2-Apr,5.0,4.4,4.7,1954,northarm
3-Apr,5.0,4.7,4.9,1954,northarm
4-Apr,5.0,4.7,4.9,1954,northarm
5-Apr,5.0,4.4,4.7,1954,northarm
6-Apr,5.0,4.7,4.9,1954,northarm
7-Apr,5.0,4.7,4.9,1954,northarm
8-Apr,5.0,4.4,4.7,1954,northarm
9-Apr,5.6,5.0,5.3,1954,northarm
10-Apr,5.8,5.6,5.7,1954,northarm
11-Apr,5.8,5.6,5.7,1954,northarm
12-Apr,6.1,5.6,5.8,1954,northarm
13-Apr,6.4,5.8,6.1,1954,northarm
14-Apr,6.7,6.1,6.4,1954,northarm
15-Apr,6.4,6.1,6.3,1954,northarm
16-Apr,6.7,6.1,6.4,1954,northarm
17-Apr,6.9,6.7,6.8,1954,northarm
18-Apr,6.9,6.7,6.8,1954,northarm
19-Apr,6.9,6.7,6.8,1954,northarm
20-Apr,7.2,6.9,7.1,1954,northarm
21-Apr,7.2,6.7,6.9,1954,northarm
22-Apr,6.7,6.7,6.7,1954,northarm
23-Apr,7.2,6.9,7.1,1954,northarm
24-Apr,7.2,7.2,7.2,1954,northarm
25-Apr,7.2,7.2,7.2,1954,northarm
26-Apr,6.9,6.7,6.8,1954,northarm
27-Apr,7.2,6.9,7.1,1954,northarm
28-Apr,6.9,6.7,6.8,1954,northarm
29-Apr,6.7,6.4,6.5,1954,northarm
30-Apr,6.9,6.4,6.7,1954,northarm
1-May,6.7,6.4,6.5,1954,northarm
2-May,-,6.1,-,1954,northarm
3-May,6.9,6.4,6.7,1954,northarm
4-May,7.2,6.9,7.1,1954,northarm
5-May,7.5,7.2,7.4,1954,northarm
6-May,8.1,7.5,7.8,1954,northarm
7-May,8.9,8.1,8.5,1954,northarm
8-May,9.4,8.9,9.2,1954,northarm
